pairing_id,student_id,tutor_id,lessons_count,total_hours,avg_feedback_score,positive_note_count,negative_note_count,good_pairing_label
P0001,S031,T004,1,1.5,-0.15552771735529755,0,1,0
P0002,S050,T011,1,2.0,0.35705420848928826,1,0,1
P0003,S034,T004,1,1.0,0.35705420848928826,1,0,1
P0004,S010,T016,1,1.5,-0.1425645388718891,0,1,0
P0005,S015,T016,1,1.5,0.35705420848928826,1,0,1
P0006,S056,T020,1,2.0,-0.15552771735529755,0,1,0
P0007,S066,T004,1,1.5,0.35705420848928826,1,0,1
P0008,S055,T013,1,1.0,0.35705420848928826,1,0,1
P0009,S068,T020,1,1.0,-0.008877284417959874,0,1,0
P0010,S042,T015,1,2.0,-0.15552771735529755,0,1,0
P0011,S074,T002,1,2.0,0.35705420848928826,1,0,1
P0012,S031,T014,1,1.5,-0.15552771735529755,0,1,0
P0013,S021,T024,1,1.5,0.18680576616383085,1,0,1
P0014,S071,T016,1,2.0,0.18680576616383085,1,0,1
P0015,S056,T018,1,1.0,-0.1425645388718891,0,1,0
P0016,S043,T003,1,2.0,0.0,0,0,0
P0017,S044,T021,1,1.0,0.0,0,0,0
P0018,S001,T004,1,1.5,0.35705420848928826,1,0,1
P0019,S047,T003,1,1.5,0.43730031065603897,1,0,1
P0020,S061,T025,1,1.5,0.35705420848928826,1,0,1
P0021,S053,T004,1,1.5,0.35705420848928826,1,0,1
P0022,S051,T023,1,1.5,-0.15552771735529755,0,1,0
P0023,S031,T023,1,2.0,0.35705420848928826,1,0,1
P0024,S019,T022,1,2.0,0.35705420848928826,1,0,1
P0025,S006,T025,1,1.5,-0.008877284417959874,0,1,0
P0026,S065,T019,1,2.0,0.18680576616383085,1,0,1
P0027,S049,T025,1,2.0,0.25247545207397104,1,0,1
P0028,S070,T007,1,2.0,0.35705420848928826,1,0,1
P0029,S017,T022,1,2.0,-0.15552771735529755,0,1,0
P0030,S029,T010,1,1.0,0.35705420848928826,1,0,1
P0031,S034,T002,1,1.5,0.25247545207397104,1,0,1
P0032,S034,T014,1,1.0,-0.1425645388718891,0,1,0
P0033,S067,T025,1,2.0,0.35705420848928826,1,0,1
P0034,S048,T011,1,1.5,0.25247545207397104,1,0,1
P0035,S078,T005,1,1.5,-0.15552771735529755,0,1,0
P0036,S045,T023,1,2.0,0.18680576616383085,1,0,1
P0037,S068,T021,1,1.0,0.18680576616383085,1,0,1
P0038,S042,T019,1,2.0,-0.15552771735529755,0,1,0
P0039,S050,T011,1,2.0,0.35705420848928826,1,0,1
P0040,S045,T012,1,2.0,0.35705420848928826,1,0,1
P0041,S026,T025,1,1.5,-0.15552771735529755,0,1,0
P0042,S061,T023,1,1.5,0.0,0,0,0
P0043,S061,T012,1,2.0,0.35705420848928826,1,0,1
P0044,S018,T017,1,1.0,-0.15552771735529755,0,1,0
P0045,S027,T024,1,1.5,-0.15552771735529755,0,1,0
P0046,S041,T023,1,2.0,0.43730031065603897,1,0,1
P0047,S055,T019,1,1.5,0.18680576616383085,1,0,1
P0048,S076,T016,1,1.5,0.35705420848928826,1,0,1
P0049,S001,T016,1,1.5,-0.15552771735529755,0,1,0
P0050,S037,T009,1,1.5,0.18680576616383085,1,0,1
P0051,S039,T015,1,1.0,0.35705420848928826,1,0,1
P0052,S046,T014,1,1.0,0.18680576616383085,1,0,1
P0053,S070,T015,1,1.0,0.18680576616383085,1,0,1
P0054,S061,T001,1,2.0,-0.15552771735529755,0,1,0
P0055,S023,T003,1,1.0,0.0,0,0,0
P0056,S047,T013,1,1.0,0.0,0,0,0
P0057,S014,T002,1,1.0,0.25247545207397104,1,0,1
P0058,S037,T013,1,1.5,-0.1425645388718891,0,1,0
P0059,S001,T002,1,1.5,0.0,0,0,0
P0060,S048,T021,1,1.0,0.35705420848928826,1,0,1
P0061,S068,T013,1,2.0,0.35705420848928826,1,0,1
P0062,S001,T025,1,1.5,-0.008877284417959874,0,1,0
P0063,S002,T017,1,2.0,-0.15552771735529755,0,1,0
P0064,S048,T005,1,1.5,0.35705420848928826,1,0,1
P0065,S050,T024,1,1.5,-0.1425645388718891,0,1,0
P0066,S024,T003,1,2.0,-0.007259730559466437,0,1,0
P0067,S062,T005,1,1.0,0.18680576616383085,1,0,1
P0068,S016,T017,1,2.0,-0.008877284417959874,0,1,0
P0069,S015,T023,1,1.0,-0.008877284417959874,0,1,0
P0070,S019,T016,1,1.0,-0.1425645388718891,0,1,0
P0071,S010,T011,1,2.0,0.25247545207397104,1,0,1
P0072,S070,T013,1,1.5,0.18680576616383085,1,0,1
P0073,S053,T011,1,1.0,-0.008877284417959874,0,1,0
P0074,S016,T009,1,1.5,0.18680576616383085,1,0,1
P0075,S004,T010,1,1.5,0.18680576616383085,1,0,1
P0076,S058,T015,1,2.0,0.35705420848928826,1,0,1
P0077,S023,T024,1,1.5,0.25247545207397104,1,0,1
P0078,S032,T023,1,2.0,0.18680576616383085,1,0,1
P0079,S019,T006,1,1.0,0.35705420848928826,1,0,1
P0080,S051,T008,1,2.0,0.35705420848928826,1,0,1
P0081,S057,T021,1,1.0,0.35705420848928826,1,0,1
P0082,S061,T021,1,1.5,0.35705420848928826,1,0,1
P0083,S077,T010,1,2.0,0.35705420848928826,1,0,1
P0084,S057,T007,1,2.0,-0.1425645388718891,0,1,0
P0085,S032,T020,1,1.0,-0.008877284417959874,0,1,0
P0086,S060,T005,1,1.5,-0.15552771735529755,0,1,0
P0087,S040,T014,1,1.0,0.18680576616383085,1,0,1
P0088,S047,T006,1,1.0,0.25247545207397104,1,0,1
P0089,S020,T003,1,1.5,0.35705420848928826,1,0,1
P0090,S009,T012,1,1.0,-0.1425645388718891,0,1,0
P0091,S006,T021,1,2.0,0.18680576616383085,1,0,1
P0092,S053,T008,1,2.0,0.35705420848928826,1,0,1
P0093,S074,T006,1,1.0,0.18680576616383085,1,0,1
P0094,S064,T014,1,1.5,0.0,0,0,0
P0095,S039,T011,1,2.0,0.35705420848928826,1,0,1
P0096,S004,T012,1,1.0,0.0,0,0,0
P0097,S045,T024,1,2.0,-0.15552771735529755,0,1,0
P0098,S074,T021,1,2.0,0.18680576616383085,1,0,1
P0099,S069,T024,1,1.5,0.35705420848928826,1,0,1
P0100,S069,T017,1,1.0,0.25247545207397104,1,0,1
P0101,S016,T002,1,1.5,0.18680576616383085,1,0,1
P0102,S006,T023,1,1.0,0.0,0,0,0
P0103,S047,T002,1,1.0,0.0,0,0,0
P0104,S059,T002,1,1.0,0.35705420848928826,1,0,1
P0105,S030,T017,1,1.0,-0.15552771735529755,0,1,0
P0106,S015,T010,1,1.0,0.0,0,0,0
P0107,S058,T002,1,2.0,-0.1425645388718891,0,1,0
P0108,S061,T005,1,2.0,0.25247545207397104,1,0,1
P0109,S055,T006,1,2.0,-0.15552771735529755,0,1,0
P0110,S027,T014,1,1.5,-0.15552771735529755,0,1,0
P0111,S009,T017,1,1.5,0.35705420848928826,1,0,1
P0112,S053,T004,1,1.0,0.18680576616383085,1,0,1
P0113,S032,T015,1,1.0,0.18680576616383085,1,0,1
P0114,S067,T009,1,1.5,-0.008877284417959874,0,1,0
P0115,S014,T010,1,2.0,0.18680576616383085,1,0,1
P0116,S062,T023,1,1.5,0.35705420848928826,1,0,1
P0117,S009,T016,1,1.5,0.0,0,0,0
P0118,S042,T013,1,2.0,-0.008877284417959874,0,1,0
P0119,S046,T024,1,1.0,0.35705420848928826,1,0,1
P0120,S037,T019,1,1.0,-0.15552771735529755,0,1,0
P0121,S075,T021,1,1.0,0.0,0,0,0
P0122,S029,T022,1,2.0,-0.15552771735529755,0,1,0
P0123,S025,T003,1,1.5,0.35705420848928826,1,0,1
P0124,S023,T023,1,2.0,0.25247545207397104,1,0,1
P0125,S046,T002,1,1.0,0.18680576616383085,1,0,1
P0126,S077,T001,1,1.5,-0.15552771735529755,0,1,0
P0127,S043,T017,1,1.0,0.35705420848928826,1,0,1
P0128,S008,T018,1,1.0,0.35705420848928826,1,0,1
P0129,S025,T024,1,1.0,-0.008877284417959874,0,1,0
P0130,S060,T008,1,1.5,0.18680576616383085,1,0,1
P0131,S046,T015,1,2.0,-0.15552771735529755,0,1,0
P0132,S021,T001,1,2.0,0.0,0,0,0
P0133,S079,T008,1,2.0,0.0,0,0,0
P0134,S059,T022,1,1.0,0.35705420848928826,1,0,1
P0135,S015,T015,1,2.0,-0.1425645388718891,0,1,0
P0136,S041,T005,1,2.0,0.18680576616383085,1,0,1
P0137,S043,T018,1,2.0,0.0,0,0,0
P0138,S046,T012,1,1.5,0.18680576616383085,1,0,1
P0139,S004,T025,1,2.0,-0.15552771735529755,0,1,0
P0140,S032,T003,1,1.5,-0.15552771735529755,0,1,0
P0141,S051,T012,1,1.5,0.35705420848928826,1,0,1
P0142,S010,T009,1,1.5,-0.15552771735529755,0,1,0
P0143,S026,T018,1,1.5,-0.007259730559466437,0,1,0
P0144,S004,T015,1,2.0,-0.15552771735529755,0,1,0
P0145,S049,T021,1,1.5,0.35705420848928826,1,0,1
P0146,S027,T004,1,1.0,0.18680576616383085,1,0,1
P0147,S032,T017,1,1.0,0.35705420848928826,1,0,1
P0148,S041,T011,1,1.0,0.35705420848928826,1,0,1
P0149,S034,T013,1,1.0,0.0,0,0,0
P0150,S027,T013,1,1.5,-0.15552771735529755,0,1,0
P0151,S007,T004,1,2.0,-0.15552771735529755,0,1,0
P0152,S022,T014,1,2.0,0.35705420848928826,1,0,1
P0153,S023,T009,1,1.0,-0.1425645388718891,0,1,0
P0154,S046,T021,1,1.5,0.35705420848928826,1,0,1
P0155,S046,T008,1,2.0,-0.007259730559466437,0,1,0
P0156,S067,T012,1,2.0,-0.1425645388718891,0,1,0
P0157,S005,T001,1,1.0,0.25247545207397104,1,0,1
P0158,S053,T021,1,1.5,0.35705420848928826,1,0,1
P0159,S055,T022,1,2.0,0.18680576616383085,1,0,1
P0160,S011,T018,1,2.0,-0.1425645388718891,0,1,0
P0161,S051,T023,1,2.0,0.18680576616383085,1,0,1
P0162,S079,T001,1,1.0,-0.008877284417959874,0,1,0
P0163,S068,T021,1,1.0,0.35705420848928826,1,0,1
P0164,S028,T001,1,1.0,0.18680576616383085,1,0,1
P0165,S018,T007,1,1.5,-0.007259730559466437,0,1,0
P0166,S019,T013,1,1.0,0.18680576616383085,1,0,1
P0167,S040,T014,1,1.0,0.18680576616383085,1,0,1
P0168,S038,T022,1,1.0,-0.008877284417959874,0,1,0
P0169,S032,T022,1,2.0,0.35705420848928826,1,0,1
P0170,S080,T002,1,1.0,0.35705420848928826,1,0,1
P0171,S006,T014,1,2.0,0.18680576616383085,1,0,1
P0172,S013,T011,1,1.0,-0.008877284417959874,0,1,0
P0173,S074,T005,1,1.0,0.18680576616383085,1,0,1
P0174,S054,T017,1,1.0,0.25247545207397104,1,0,1
P0175,S061,T005,1,1.0,0.18680576616383085,1,0,1
P0176,S049,T019,1,1.0,-0.15552771735529755,0,1,0
P0177,S016,T004,1,1.0,0.43730031065603897,1,0,1
P0178,S016,T012,1,1.5,0.35705420848928826,1,0,1
P0179,S001,T021,1,1.0,0.35705420848928826,1,0,1
P0180,S033,T003,1,2.0,0.25247545207397104,1,0,1
P0181,S022,T018,1,2.0,-0.15552771735529755,0,1,0
P0182,S080,T001,1,1.0,0.18680576616383085,1,0,1
P0183,S040,T018,1,2.0,-0.15552771735529755,0,1,0
P0184,S029,T014,1,1.5,0.0,0,0,0
P0185,S079,T015,1,2.0,0.25247545207397104,1,0,1
P0186,S037,T011,1,1.5,0.35705420848928826,1,0,1
P0187,S006,T016,1,2.0,0.18680576616383085,1,0,1
P0188,S013,T002,1,1.0,0.18680576616383085,1,0,1
P0189,S011,T024,1,1.0,-0.15552771735529755,0,1,0
P0190,S013,T005,1,1.5,0.35705420848928826,1,0,1
P0191,S020,T011,1,2.0,0.35705420848928826,1,0,1
P0192,S005,T001,1,2.0,0.0,0,0,0
P0193,S030,T024,1,1.0,0.35705420848928826,1,0,1
P0194,S051,T002,1,1.5,0.18680576616383085,1,0,1
P0195,S020,T010,1,1.5,0.25247545207397104,1,0,1
P0196,S080,T020,1,2.0,0.18680576616383085,1,0,1
P0197,S073,T011,1,1.5,-0.15552771735529755,0,1,0
P0198,S076,T011,1,1.5,0.43730031065603897,1,0,1
P0199,S057,T007,1,1.5,-0.15552771735529755,0,1,0
P0200,S062,T010,1,2.0,-0.007259730559466437,0,1,0
P0201,S027,T023,1,2.0,0.18680576616383085,1,0,1
P0202,S030,T017,1,1.5,0.18680576616383085,1,0,1
P0203,S045,T006,1,2.0,0.18680576616383085,1,0,1
P0204,S065,T003,1,1.0,0.18680576616383085,1,0,1
P0205,S037,T002,1,2.0,-0.1425645388718891,0,1,0
P0206,S049,T003,1,2.0,0.18680576616383085,1,0,1
P0207,S005,T010,1,1.0,-0.1425645388718891,0,1,0
P0208,S066,T015,1,1.5,-0.15552771735529755,0,1,0
P0209,S022,T024,1,2.0,0.18680576616383085,1,0,1
P0210,S045,T025,1,1.5,-0.008877284417959874,0,1,0
P0211,S034,T022,1,2.0,0.35705420848928826,1,0,1
P0212,S026,T013,1,2.0,0.25247545207397104,1,0,1
P0213,S071,T022,1,1.0,-0.1425645388718891,0,1,0
P0214,S045,T023,1,1.5,-0.15552771735529755,0,1,0
P0215,S052,T017,1,2.0,0.18680576616383085,1,0,1
P0216,S029,T025,1,2.0,0.18680576616383085,1,0,1
P0217,S007,T014,1,1.0,-0.15552771735529755,0,1,0
P0218,S050,T011,1,2.0,0.18680576616383085,1,0,1
P0219,S056,T011,1,2.0,-0.007259730559466437,0,1,0
P0220,S027,T015,1,2.0,0.35705420848928826,1,0,1
P0221,S014,T022,1,2.0,-0.1425645388718891,0,1,0
P0222,S018,T010,1,1.0,-0.15552771735529755,0,1,0
P0223,S060,T011,1,1.0,0.18680576616383085,1,0,1
P0224,S012,T023,1,2.0,0.35705420848928826,1,0,1
P0225,S005,T009,1,1.0,-0.008877284417959874,0,1,0
P0226,S040,T011,1,1.5,0.18680576616383085,1,0,1
P0227,S013,T001,1,1.5,-0.008877284417959874,0,1,0
P0228,S009,T009,1,2.0,-0.15552771735529755,0,1,0
P0229,S062,T012,1,2.0,0.35705420848928826,1,0,1
P0230,S073,T022,1,2.0,0.0,0,0,0
P0231,S025,T002,1,2.0,-0.15552771735529755,0,1,0
P0232,S069,T022,1,1.0,0.35705420848928826,1,0,1
P0233,S064,T003,1,1.5,-0.1425645388718891,0,1,0
P0234,S017,T016,1,1.5,-0.15552771735529755,0,1,0
P0235,S029,T003,1,2.0,0.25247545207397104,1,0,1
P0236,S032,T009,1,2.0,0.35705420848928826,1,0,1
P0237,S029,T003,1,2.0,-0.1425645388718891,0,1,0
P0238,S024,T019,1,2.0,-0.15552771735529755,0,1,0
P0239,S075,T016,1,1.0,-0.007259730559466437,0,1,0
P0240,S002,T023,1,1.5,-0.15552771735529755,0,1,0
P0241,S043,T007,1,1.5,0.35705420848928826,1,0,1
P0242,S056,T006,1,2.0,0.18680576616383085,1,0,1
P0243,S017,T018,1,1.0,-0.15552771735529755,0,1,0
P0244,S032,T010,1,1.5,0.35705420848928826,1,0,1
P0245,S014,T005,1,1.5,0.43730031065603897,1,0,1
P0246,S074,T015,1,2.0,0.35705420848928826,1,0,1
P0247,S047,T010,1,1.5,-0.15552771735529755,0,1,0
P0248,S016,T007,1,1.5,-0.15552771735529755,0,1,0
P0249,S035,T005,1,1.0,0.0,0,0,0
P0250,S077,T006,1,1.5,0.35705420848928826,1,0,1
P0251,S035,T018,1,1.0,0.0,0,0,0
P0252,S006,T025,1,2.0,0.35705420848928826,1,0,1
P0253,S038,T010,1,1.5,0.18680576616383085,1,0,1
P0254,S006,T023,1,1.5,-0.15552771735529755,0,1,0
P0255,S061,T005,1,2.0,0.18680576616383085,1,0,1
P0256,S031,T021,1,2.0,0.35705420848928826,1,0,1
P0257,S062,T008,1,1.5,0.18680576616383085,1,0,1
P0258,S038,T025,1,1.5,-0.15552771735529755,0,1,0
P0259,S069,T001,1,1.0,0.35705420848928826,1,0,1
P0260,S017,T025,1,1.5,-0.15552771735529755,0,1,0
P0261,S053,T003,1,2.0,-0.1425645388718891,0,1,0
P0262,S054,T019,1,1.5,-0.15552771735529755,0,1,0
P0263,S067,T020,1,1.5,-0.007259730559466437,0,1,0
P0264,S014,T013,1,1.0,-0.15552771735529755,0,1,0
P0265,S079,T009,1,1.5,0.25247545207397104,1,0,1
P0266,S059,T002,1,2.0,0.18680576616383085,1,0,1
P0267,S019,T004,1,1.0,-0.15552771735529755,0,1,0
P0268,S020,T023,1,1.5,0.18680576616383085,1,0,1
P0269,S047,T019,1,1.0,0.25247545207397104,1,0,1
P0270,S030,T016,1,1.0,0.18680576616383085,1,0,1
P0271,S037,T024,1,2.0,0.35705420848928826,1,0,1
P0272,S060,T025,1,2.0,0.35705420848928826,1,0,1
P0273,S009,T010,1,1.5,-0.15552771735529755,0,1,0
P0274,S047,T009,1,2.0,-0.15552771735529755,0,1,0
P0275,S051,T021,1,1.5,-0.15552771735529755,0,1,0
P0276,S009,T011,1,1.5,0.0,0,0,0
P0277,S015,T019,1,1.5,0.0,0,0,0
P0278,S047,T010,1,1.0,0.0,0,0,0
P0279,S049,T003,1,2.0,-0.15552771735529755,0,1,0
P0280,S071,T016,1,1.5,0.35705420848928826,1,0,1
P0281,S075,T007,1,1.5,-0.1425645388718891,0,1,0
P0282,S076,T016,1,2.0,0.35705420848928826,1,0,1
P0283,S061,T025,1,2.0,0.0,0,0,0
P0284,S036,T022,1,2.0,0.18680576616383085,1,0,1
P0285,S054,T017,1,1.5,-0.1425645388718891,0,1,0
P0286,S030,T018,1,1.5,0.35705420848928826,1,0,1
P0287,S060,T006,1,1.0,0.0,0,0,0
P0288,S003,T023,1,1.5,-0.1425645388718891,0,1,0
P0289,S069,T001,1,2.0,0.0,0,0,0
P0290,S035,T025,1,1.5,0.35705420848928826,1,0,1
P0291,S073,T024,1,1.5,-0.15552771735529755,0,1,0
P0292,S071,T007,1,1.5,0.18680576616383085,1,0,1
P0293,S031,T014,1,1.5,-0.15552771735529755,0,1,0
P0294,S043,T024,1,1.5,0.18680576616383085,1,0,1
P0295,S074,T002,1,1.0,0.0,0,0,0
P0296,S053,T008,1,2.0,0.25247545207397104,1,0,1
P0297,S033,T018,1,2.0,0.0,0,0,0
P0298,S037,T019,1,2.0,0.0,0,0,0
P0299,S016,T006,1,1.0,0.18680576616383085,1,0,1
P0300,S076,T024,1,1.0,0.43730031065603897,1,0,1
P0301,S074,T016,1,1.0,0.18680576616383085,1,0,1
P0302,S002,T011,1,2.0,0.0,0,0,0
P0303,S046,T001,1,1.5,0.35705420848928826,1,0,1
P0304,S068,T007,1,1.0,-0.15552771735529755,0,1,0
P0305,S022,T002,1,1.0,-0.008877284417959874,0,1,0
P0306,S063,T008,1,1.0,-0.007259730559466437,0,1,0
P0307,S007,T002,1,1.5,-0.008877284417959874,0,1,0
P0308,S062,T013,1,1.5,0.18680576616383085,1,0,1
P0309,S019,T016,1,1.5,0.35705420848928826,1,0,1
P0310,S026,T002,1,1.5,0.0,0,0,0
P0311,S026,T011,1,2.0,0.0,0,0,0
P0312,S010,T006,1,1.5,-0.1425645388718891,0,1,0
P0313,S035,T005,1,1.5,0.35705420848928826,1,0,1
P0314,S020,T010,1,2.0,-0.008877284417959874,0,1,0
P0315,S046,T006,1,1.5,0.35705420848928826,1,0,1
P0316,S036,T008,1,1.5,0.18680576616383085,1,0,1
P0317,S013,T019,1,1.5,0.35705420848928826,1,0,1
P0318,S018,T008,1,2.0,-0.15552771735529755,0,1,0
P0319,S018,T012,1,2.0,-0.1425645388718891,0,1,0
P0320,S050,T015,1,1.5,0.35705420848928826,1,0,1
P0321,S048,T005,1,2.0,0.25247545207397104,1,0,1
P0322,S045,T012,1,1.5,0.0,0,0,0
P0323,S004,T006,1,1.5,0.0,0,0,0
P0324,S056,T019,1,1.5,0.18680576616383085,1,0,1
P0325,S053,T025,1,1.0,-0.15552771735529755,0,1,0
P0326,S020,T007,1,2.0,0.25247545207397104,1,0,1
P0327,S012,T012,1,1.0,-0.15552771735529755,0,1,0
P0328,S032,T014,1,1.0,0.0,0,0,0
P0329,S022,T021,1,2.0,0.18680576616383085,1,0,1
P0330,S044,T013,1,2.0,0.18680576616383085,1,0,1
P0331,S052,T007,1,1.5,-0.15552771735529755,0,1,0
P0332,S057,T004,1,2.0,0.35705420848928826,1,0,1
P0333,S043,T017,1,1.0,0.18680576616383085,1,0,1
P0334,S029,T025,1,1.5,0.25247545207397104,1,0,1
P0335,S078,T001,1,2.0,-0.15552771735529755,0,1,0
P0336,S033,T002,1,1.5,-0.15552771735529755,0,1,0
P0337,S016,T003,1,1.0,0.18680576616383085,1,0,1
P0338,S060,T022,1,1.5,0.43730031065603897,1,0,1
P0339,S020,T008,1,1.5,0.35705420848928826,1,0,1
P0340,S042,T016,1,1.5,0.35705420848928826,1,0,1
P0341,S034,T019,1,2.0,0.35705420848928826,1,0,1
P0342,S074,T019,1,2.0,0.18680576616383085,1,0,1
P0343,S055,T021,1,2.0,0.0,0,0,0
P0344,S076,T021,1,1.5,0.18680576616383085,1,0,1
P0345,S054,T011,1,2.0,0.18680576616383085,1,0,1
P0346,S055,T016,1,1.5,0.35705420848928826,1,0,1
P0347,S051,T017,1,1.0,-0.15552771735529755,0,1,0
P0348,S008,T011,1,2.0,-0.15552771735529755,0,1,0
P0349,S004,T008,1,1.0,-0.008877284417959874,0,1,0
P0350,S005,T025,1,1.5,0.35705420848928826,1,0,1
P0351,S067,T023,1,1.5,0.35705420848928826,1,0,1
P0352,S051,T023,1,1.0,-0.15552771735529755,0,1,0
P0353,S029,T022,1,1.5,0.0,0,0,0
P0354,S063,T003,1,2.0,0.35705420848928826,1,0,1
P0355,S047,T022,1,1.0,0.0,0,0,0
P0356,S054,T007,1,1.5,-0.15552771735529755,0,1,0
P0357,S021,T004,1,2.0,0.18680576616383085,1,0,1
P0358,S056,T014,1,1.0,0.35705420848928826,1,0,1
P0359,S042,T015,1,1.5,0.18680576616383085,1,0,1
P0360,S033,T012,1,1.5,0.18680576616383085,1,0,1
P0361,S069,T017,1,1.5,0.0,0,0,0
P0362,S060,T023,1,2.0,0.0,0,0,0
P0363,S013,T017,1,2.0,0.18680576616383085,1,0,1
P0364,S067,T012,1,2.0,-0.1425645388718891,0,1,0
P0365,S004,T015,1,1.5,0.0,0,0,0
P0366,S049,T021,1,1.5,0.35705420848928826,1,0,1
P0367,S073,T019,1,2.0,0.0,0,0,0
P0368,S046,T024,1,1.5,-0.008877284417959874,0,1,0
P0369,S049,T023,1,2.0,-0.1425645388718891,0,1,0
P0370,S076,T010,1,1.5,0.25247545207397104,1,0,1
P0371,S054,T021,1,1.0,-0.15552771735529755,0,1,0
P0372,S013,T018,1,2.0,0.0,0,0,0
P0373,S076,T017,1,2.0,0.25247545207397104,1,0,1
P0374,S004,T024,1,1.5,0.35705420848928826,1,0,1
P0375,S018,T015,1,1.5,0.18680576616383085,1,0,1
P0376,S033,T017,1,2.0,0.18680576616383085,1,0,1
P0377,S075,T014,1,1.5,0.35705420848928826,1,0,1
P0378,S067,T018,1,2.0,0.0,0,0,0
P0379,S006,T022,1,1.5,0.18680576616383085,1,0,1
P0380,S051,T019,1,1.0,0.25247545207397104,1,0,1
P0381,S006,T012,1,2.0,0.0,0,0,0
P0382,S038,T001,1,2.0,0.25247545207397104,1,0,1
P0383,S043,T021,1,2.0,0.18680576616383085,1,0,1
P0384,S041,T005,1,2.0,0.35705420848928826,1,0,1
P0385,S068,T008,1,2.0,0.18680576616383085,1,0,1
P0386,S073,T008,1,2.0,-0.15552771735529755,0,1,0
P0387,S044,T025,1,1.0,-0.008877284417959874,0,1,0
P0388,S017,T006,1,1.0,0.0,0,0,0
P0389,S022,T019,1,1.0,0.0,0,0,0
P0390,S066,T015,1,1.5,-0.15552771735529755,0,1,0
P0391,S062,T010,1,2.0,0.35705420848928826,1,0,1
P0392,S022,T020,1,2.0,0.18680576616383085,1,0,1
P0393,S008,T024,1,2.0,0.35705420848928826,1,0,1
P0394,S062,T025,1,1.0,0.18680576616383085,1,0,1
P0395,S027,T007,1,1.0,-0.1425645388718891,0,1,0
P0396,S027,T014,1,2.0,0.35705420848928826,1,0,1
P0397,S020,T022,1,1.5,-0.15552771735529755,0,1,0
P0398,S046,T003,1,1.5,0.0,0,0,0
P0399,S042,T010,1,2.0,-0.008877284417959874,0,1,0
P0400,S065,T005,1,1.5,0.18680576616383085,1,0,1
